product,price,discounts
Gafas De Sol Hawkers Bel Air Hombre Y Mujer Elige Tu Color,"155.000,71.300,5.942",54% OFF
Nintendo Switch OLED 64GB Standard color  blanco y negro,"1.839.900,1.749.900,48.608",4% OFF
Taladro + Juego Herramentas Inalámbricas Matrix 20v 6 En 1 M,"1.199.900,699.900,19.442",41% OFF
Audífonos gamer inalámbricos Logitech G Series G733 kda con luz  rgb LED,"619.900,17.219",No tiene descuento
Kit Coctelería Bar Profesional 20 Piezas Cocktail Cocteles,"149.000,4.139",No tiene descuento
Bicicleta Gw Hyena 29 Shimano Revoshift Aluminio Susp 21vel,"1.599.900,799.900,22.219",50% OFF
Asador Barril Marte Manijas Madera Teca Volcano Acero Inox,"780.000,65.000",No tiene descuento
Kit Billetera Y Llavero De Cuero Vintage Vélez,"169.900,14.158",No tiene descuento
Reloj Casio W_218h_2av Azul Hombre 100% Original,"169.900,113.900,3.164",32% OFF
Bicicleta Estatica  Spinning Gimnasio ,"619.900,17.219",No tiene descuento
Sandalia Playera De Cuero Para Hombre Contraste Color Vélez,"109.900,9.158",No tiene descuento
Taladro Percuto De 1/2` 650w Dewalt Dwd024-b3 Imp,"402.406,11.178",No tiene descuento
Juego De Herramienta 73pz Copas Lllaves Carro Moto Pretul,"159.990,136.990,3.805",14% OFF
"Laptop Dell Inspiron 3501 plata 15.55"", Intel Core i3 1115G4  8GB de RAM 256GB SSD, Intel UHD Graphics Xe G4 48EUs 60 Hz 1366x768px Windows 10 Home","1.899.900,1.539.900,42.775",18% OFF
Scooter Patineta Eléctrica E9 Pro 350 Watts / Freno De Disco,"2.999.900,1.449.900,40.275",51% OFF
Set Fundas Sparco Asiento Forro Protector Silla 11 Piezas,"219.000,170.905,14.242",21% OFF
Camara Deportiva Gopro Hero 8 Black,"1.399.000,38.861",No tiene descuento
Audífonos Sony Bluetooth Noise Cancelling | Wh-1000xm5,"2.249.900,1.799.900,149.992",20% OFF
Tapete Para Silla Gamer 90x90 Antideslizante Y Lavable,"149.900,12.492",No tiene descuento
Yoga Tab 11 Lenovo Yt-j706f 8gb 256gb 11 Gris,"1.999.900,1.499.900,41.664",25% OFF
Casco Bicicleta Nutcase Vanastic Notion,"319.900,287.990,23.999",9% OFF
Billetera De Cuero Contrastes Negro Vélez,"139.900,11.658",No tiene descuento
Sandalias Nautica Para Hombre Alto Jn5141,"94.900,75.920,2.109",20% OFF
Mouse de juego Logitech  G Series Lightsync G203 negro,"144.900,94.900,2.636",34% OFF
"Radio para carro JDL JDL-5303 con USB, bluetooth y lector de tarjeta SD","99.900,86.355,2.399",13% OFF
Bicicicleta Roadmaster Hurricane 29  Shimano Revoshift 21vel,"1.399.900,599.900,16.664",57% OFF
Tenis Vuelos De Cuero Para Hombre Combinación De Texturas Vé,"289.900,24.158",No tiene descuento
Gafas De Sol Hawkers One Hombre Y Mujer Elige Tu Color,"145.000,65.000,5.417",55% OFF
"Volante Carreras Logitech G923 Trueforce, Pc / Xbox X|s One","1.479.900,41.108",No tiene descuento
Bota Hombre Outdoor Tellenzi 1570 Calzado Nacional Caballero,"199.990,107.990,8.999",46% OFF
Sierra Circular 7.1/4 5800rpm Dewalt Dwe560,"719.900,509.900,14.164",29% OFF
Kit De Pesas Ejercicio Mancuernas Juego De Pesas Termoforrad,"299.900,152.300,4.231",49% OFF
Silla Gamer Deportiva Ergonómica Con Sistema De Inclinación,"869.000,24.139",No tiene descuento
Botas Merrell Hombre Negro Vego Thermo Mid Ltr J589943-n11,"829.900,663.920,18.442",20% OFF
"Astro A50, Diadema Gamer Inalámbrica + Estación Base Pc Xbox","1.149.900,1.049.900,29.164",8% OFF
"Logitech G305 Hero Edición K/da Lol, Mouse Gamer Inalámbrico","164.900,4.581",No tiene descuento
Banda Caminadora Eléctrica Trotadora Plegable Hp,"2.799.900,1.759.900,48.886",37% OFF
Gafas De Sol Hawkers Warwick Hombre Y Mujer Elige Tu Color,"145.000,65.000,5.417",55% OFF
Sandalias Nautica Para Hombre Dolan Km1091,"134.900,107.920,2.998",20% OFF
Bota Hombre Outdoor 7220 Tellenzi Calzado Nacional,"199.990,107.990,8.999",46% OFF
Kit Taladro Percutor 1/2 Vvr + 88 Accesorios Black + Decker,"279.900,219.900,6.108",21% OFF
Sierra Caladora Black & Decker Ks501-b3,"189.900,5.275",No tiene descuento
Bicicleta De Ruta Roadmaster Fire Shimano 18 Vel Fren Disco ,"3.749.900,1.899.900,52.775",49% OFF
Escritorio Gamer Tipo T Altura Ajustable 63 Pulgadas,"1.699.990,47.222",No tiene descuento
"Cafetera Prensa Francesa Acero Inoxidable - 8 Tazas, 1 Litro","189.990,5.278",No tiene descuento
Napoleon Bip500rbnss-3 Asador A Gas Natural Empotrable Acero,"9.853.900,273.719",No tiene descuento
 Caminadora Trotadora Plegable Residencial  Banda Electrica ,"1.029.900,997.900,27.719",3% OFF
Cinturón Unifaz Duna De Cuero Para Hombre Liso Vélez,"139.900,11.658",No tiene descuento
